Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,Regime
S-624,2023-09-04 11:40:00,SHORT,1943.34,1943.34,1919.44,EXPIRED,0.0,SIDEWAY_ADV
S-625,2023-09-04 19:05:00,SHORT,1938.31,1938.31,1918.18,EXPIRED,0.0,SIDEWAY_ADV
S-626,2023-09-07 07:20:00,SHORT,1919.82,1953.4,1915.81,EXPIRED,0.0,SIDEWAY_ADV
S-627,2023-09-07 15:25:00,LONG,1921.44,1914.93,1902.92,WIN,284.24,SIDEWAY_ADV
S-628,2023-09-07 19:55:00,LONG,1918.06,1914.93,1902.08,WIN,510.0,SIDEWAY_ADV
S-629,2023-09-07 22:35:00,SHORT,1919.65,1953.4,1915.77,EXPIRED,0.0,SIDEWAY_ADV
S-630,2023-09-07 22:40:00,SHORT,1919.42,1953.4,1915.71,EXPIRED,0.0,SIDEWAY_ADV
S-631,2023-09-08 03:55:00,SHORT,1923.74,1946.66,1916.79,WIN,30.33,SIDEWAY_ADV
S-632,2023-09-08 04:50:00,SHORT,1925.76,1946.67,1917.29,WIN,40.5,SIDEWAY_ADV
S-633,2023-09-08 07:50:00,SHORT,1924.44,1946.66,1916.96,WIN,33.64,SIDEWAY_ADV
S-634,2023-09-08 22:05:00,LONG,1918.14,1914.93,1920.96,WIN,87.74,SIDEWAY_ADV
S-635,2023-09-08 22:10:00,LONG,1918.49,1914.93,1921.05,WIN,71.75,SIDEWAY_ADV
S-636,2023-09-11 08:45:00,SHORT,1927.75,1939.38,1917.79,WIN,85.67,SIDEWAY_ADV
S-637,2023-09-12 08:30:00,LONG,1920.98,1914.93,1921.77,LOSS,-100.0,SIDEWAY_ADV
S-638,2023-09-12 08:50:00,LONG,1920.03,1914.93,1921.54,LOSS,-100.0,SIDEWAY_ADV
S-639,2023-09-12 10:20:00,SHORT,1919.43,1931.15,1915.71,WIN,31.73,SIDEWAY_ADV
S-640,2023-09-12 21:15:00,LONG,1912.44,1907.21,1921.0,LOSS,-100.0,SIDEWAY_ADV
S-641,2023-09-13 05:35:00,LONG,1909.85,1909.85,1918.68,LOSS,-100.0,SIDEWAY_ADV
S-642,2023-09-13 05:40:00,LONG,1909.5,1909.5,1918.6,LOSS,-100.0,SIDEWAY_ADV
S-643,2023-09-13 05:55:00,LONG,1909.11,1909.11,1918.5,LOSS,-100.0,SIDEWAY_ADV
S-644,2023-09-13 06:10:00,LONG,1909.3,1909.3,1918.55,LOSS,-100.0,SIDEWAY_ADV
S-645,2023-09-13 07:30:00,SHORT,1911.16,1931.15,1913.82,WIN,13.31,SIDEWAY_ADV
S-646,2023-09-13 13:50:00,LONG,1911.82,1907.21,1919.42,LOSS,-100.0,SIDEWAY_ADV
S-647,2023-09-14 13:50:00,SHORT,1908.52,1931.15,1914.1,WIN,24.66,SIDEWAY_ADV
S-648,2023-09-14 13:55:00,SHORT,1909.04,1931.15,1914.23,WIN,23.48,SIDEWAY_ADV
S-649,2023-09-14 20:30:00,SHORT,1910.52,1931.15,1913.07,WIN,12.34,SIDEWAY_ADV
S-650,2023-09-15 04:40:00,SHORT,1914.85,1931.15,1914.15,WIN,4.3,SIDEWAY_ADV
S-651,2023-09-15 17:00:00,SHORT,1926.94,1926.94,1917.17,LOSS,-100.0,SIDEWAY_ADV
S-652,2023-09-15 17:05:00,SHORT,1928.91,1928.91,1917.66,LOSS,-100.0,SIDEWAY_ADV
S-653,2023-09-18 01:25:00,SHORT,1924.22,1930.81,1916.49,LOSS,-100.0,SIDEWAY_ADV
S-654,2023-09-18 04:15:00,SHORT,1925.86,1930.82,1916.9,LOSS,-100.0,SIDEWAY_ADV
S-655,2023-09-18 06:30:00,SHORT,1929.39,1929.39,1917.78,LOSS,-100.0,SIDEWAY_ADV
S-656,2023-09-18 12:25:00,LONG,1926.42,1900.63,1922.53,WIN,15.07,SIDEWAY_ADV
S-657,2023-09-18 20:15:00,SHORT,1932.7,1932.7,1918.61,LOSS,-100.0,SIDEWAY_ADV
S-658,2023-09-18 22:20:00,SHORT,1931.69,1933.98,1918.36,LOSS,-100.0,SIDEWAY_ADV
S-659,2023-09-18 23:15:00,SHORT,1933.91,1933.91,1918.91,LOSS,-100.0,SIDEWAY_ADV
S-660,2023-09-19 10:40:00,SHORT,1934.31,1935.21,1920.65,LOSS,-100.0,SIDEWAY_ADV
S-661,2023-09-19 11:50:00,SHORT,1933.57,1935.32,1920.47,LOSS,-100.0,SIDEWAY_ADV
S-662,2023-09-20 20:05:00,SHORT,1947.25,1947.25,1917.33,LOSS,-100.0,SIDEWAY_ADV
S-663,2023-09-21 03:35:00,LONG,1926.29,1907.61,1922.5,WIN,20.29,SIDEWAY_ADV
S-664,2023-09-22 10:40:00,SHORT,1927.61,1947.81,1923.89,WIN,18.4,SIDEWAY_ADV
S-665,2023-09-25 07:40:00,SHORT,1923.08,1947.8,1922.09,WIN,4.0,SIDEWAY_ADV
S-666,2023-09-25 10:05:00,SHORT,1926.57,1947.81,1922.96,WIN,16.99,SIDEWAY_ADV
S-667,2023-09-25 13:00:00,SHORT,1922.45,1947.8,1921.93,WIN,2.04,SIDEWAY_ADV
S-668,2023-09-25 22:55:00,SHORT,1915.54,1947.8,1920.21,WIN,14.46,SIDEWAY_ADV
