Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,H1_Trend,Regime
2714,2024-06-07 22:40:00,SHORT,2293.8,2297.7728571428574,2287.8407142857145,OPEN,0,BEARISH,TREND
2710,2024-06-07 22:45:00,N/A,N/A,N/A,N/A,WIN,70.3,UNKNOWN,TREND
2715,2024-06-07 22:45:00,SHORT,2290.37,2294.5642857142857,2284.078571428571,OPEN,0,BEARISH,TREND
2714,2024-06-07 22:50:00,N/A,N/A,N/A,N/A,WIN,161.55,UNKNOWN,TREND
2717,2024-06-07 22:55:00,SHORT,2288.3,2292.757142857143,2281.614285714286,OPEN,0,BEARISH,TREND
2715,2024-06-07 23:00:00,N/A,N/A,N/A,N/A,WIN,93.15,UNKNOWN,TREND
2717,2024-06-07 23:20:00,N/A,N/A,N/A,N/A,LOSS,-121.8,UNKNOWN,TREND
2729,2024-06-07 23:55:00,SHORT,2293.38,2296.9885714285715,2287.967142857143,OPEN,0,BEARISH,TREND
2730,2024-06-10 01:00:00,SHORT,2290.83,2294.89,2284.74,OPEN,0,BEARISH,TREND
2729,2024-06-10 01:05:00,N/A,N/A,N/A,N/A,WIN,91.04,UNKNOWN,SIDEWAY
2730,2024-06-10 01:05:00,N/A,N/A,N/A,N/A,LOSS,-171.48,UNKNOWN,SIDEWAY
2731,2024-06-10 01:05:00,SHORT,2294.44,2298.6614285714286,2288.107857142857,OPEN,0,BEARISH,TREND
2731,2024-06-10 01:10:00,N/A,N/A,N/A,N/A,LOSS,-7.8,UNKNOWN,SIDEWAY
2735,2024-06-10 01:25:00,SHORT,2293.52,2297.655714285714,2287.316428571429,OPEN,0,BEARISH,TREND
2735,2024-06-10 01:30:00,N/A,N/A,N/A,N/A,LOSS,-21.42,UNKNOWN,TREND
2759,2024-06-10 03:25:00,SHORT,2295.81,2298.308571428571,2292.0621428571426,OPEN,0,BEARISH,TREND
2761,2024-06-10 03:35:00,SHORT,2294.57,2297.2628571428572,2290.5307142857146,OPEN,0,BEARISH,TREND
2759,2024-06-10 03:40:00,N/A,N/A,N/A,N/A,WIN,31.37,UNKNOWN,TREND
2761,2024-06-10 03:55:00,N/A,N/A,N/A,N/A,LOSS,-87.9,UNKNOWN,SIDEWAY
2767,2024-06-10 04:05:00,SHORT,2294.12,2297.2414285714285,2289.4378571428574,OPEN,0,BEARISH,TREND
2767,2024-06-10 04:15:00,N/A,N/A,N/A,N/A,LOSS,-38.99,UNKNOWN,TREND
2770,2024-06-10 04:20:00,SHORT,2294.87,2297.7914285714282,2290.487857142857,OPEN,0,BEARISH,TREND
2770,2024-06-10 04:30:00,N/A,N/A,N/A,N/A,LOSS,-38.34,UNKNOWN,TREND
2793,2024-06-10 06:15:00,SHORT,2295.47,2298.0742857142855,2291.5635714285713,OPEN,0,BEARISH,TREND
2794,2024-06-10 06:20:00,SHORT,2295.21,2297.697142857143,2291.4792857142857,OPEN,0,BEARISH,TREND
2793,2024-06-10 06:25:00,N/A,N/A,N/A,N/A,WIN,6.19,UNKNOWN,TREND
2794,2024-06-10 06:25:00,N/A,N/A,N/A,N/A,LOSS,-51.99,UNKNOWN,TREND
2797,2024-06-10 06:35:00,SHORT,2296.42,2298.9857142857145,2292.5714285714284,OPEN,0,BEARISH,TREND
2798,2024-06-10 06:40:00,SHORT,2295.8,2298.3085714285717,2292.037142857143,OPEN,0,BEARISH,TREND
2797,2024-06-10 06:45:00,N/A,N/A,N/A,N/A,WIN,14.82,UNKNOWN,TREND
2801,2024-06-10 06:55:00,SHORT,2295.35,2297.637142857143,2291.9192857142857,OPEN,0,BEARISH,TREND
2798,2024-06-10 07:00:00,N/A,N/A,N/A,N/A,WIN,16.56,UNKNOWN,TREND
2802,2024-06-10 07:00:00,SHORT,2293.71,2296.1842857142856,2289.9985714285717,OPEN,0,BEARISH,TREND
2801,2024-06-10 07:05:00,N/A,N/A,N/A,N/A,WIN,66.26,UNKNOWN,TREND
2803,2024-06-10 07:05:00,SHORT,2293.51,2295.944285714286,2289.858571428572,OPEN,0,BEARISH,TREND
2802,2024-06-10 07:10:00,N/A,N/A,N/A,N/A,WIN,7.5,UNKNOWN,TREND
2803,2024-06-10 07:15:00,N/A,N/A,N/A,N/A,LOSS,-57.98,UNKNOWN,TREND
2808,2024-06-10 07:30:00,SHORT,2294.64,2297.058571428571,2291.012142857143,OPEN,0,BEARISH,TREND
2808,2024-06-10 07:35:00,N/A,N/A,N/A,N/A,LOSS,-9.22,UNKNOWN,TREND
2809,2024-06-10 07:35:00,SHORT,2295.0,2297.312857142857,2291.530714285714,OPEN,0,BEARISH,TREND
2809,2024-06-10 07:40:00,N/A,N/A,N/A,N/A,LOSS,-13.08,UNKNOWN,TREND
2811,2024-06-10 07:45:00,SHORT,2294.28,2296.6928571428575,2290.660714285714,OPEN,0,BEARISH,TREND
2811,2024-06-10 08:00:00,N/A,N/A,N/A,N/A,LOSS,-15.62,UNKNOWN,SIDEWAY
2815,2024-06-10 08:05:00,SHORT,2293.02,2295.6785714285716,2289.0321428571424,OPEN,0,BEARISH,TREND
2815,2024-06-10 08:20:00,N/A,N/A,N/A,N/A,LOSS,-61.41,UNKNOWN,SIDEWAY
2830,2024-06-10 09:20:00,SHORT,2293.23,2296.6842857142856,2288.0485714285714,OPEN,0,BEARISH,TREND
2830,2024-06-10 09:30:00,N/A,N/A,N/A,N/A,LOSS,-7.39,UNKNOWN,SIDEWAY
2832,2024-06-10 09:30:00,SHORT,2294.07,2297.842857142857,2288.4107142857147,OPEN,0,BEARISH,TREND
2832,2024-06-10 09:40:00,SHORT,2294.07,2297.842857142857,2288.4107142857147,WIN,13.58,BEARISH,TREND
2834,2024-06-10 09:40:00,SHORT,2288.82,2293.25,2282.175,OPEN,0,BEARISH,TREND
2832,2024-06-10 09:45:00,N/A,N/A,N/A,N/A,WIN,29.92,UNKNOWN,TREND
2834,2024-06-10 09:50:00,N/A,N/A,N/A,N/A,LOSS,-40.68,UNKNOWN,SIDEWAY
2838,2024-06-10 10:00:00,SHORT,2292.41,2297.5142857142855,2284.7535714285714,OPEN,0,BEARISH,TREND
2838,2024-06-10 10:15:00,N/A,N/A,N/A,N/A,LOSS,-10.08,UNKNOWN,TREND
3027,2024-06-11 02:45:00,SHORT,2309.76,2310.76,2308.2599999999998,OPEN,0,BEARISH,TREND
3027,2024-06-11 02:55:00,N/A,N/A,N/A,N/A,LOSS,-4.86,UNKNOWN,TREND
3029,2024-06-11 02:55:00,SHORT,2309.92,2310.801428571429,2308.597857142857,OPEN,0,BEARISH,TREND
3031,2024-06-11 03:05:00,SHORT,2309.38,2310.357142857143,2307.9142857142856,OPEN,0,BEARISH,TREND
